Pasos al día desde 10 de septiembre al 10 de octubre;;;
Fecha;Cantidad de pasos;;
10-09-23;1.747;;
11-09-23;11.561;;
12-09-23;6.128;;
13-09-23;7.225;;
14-09-23;984;;
15-09-23;6.890;;
16-09-23;18.057;;
17-09-23;4.311;;
18-09-23;8.117;;
19-09-23;2.202;;
20-09-23;14.797;;
21-09-23;590;;
22-09-23;7.205;;
23-09-23;1.215;;
24-09-23;2.406;;
25-09-23;12.435;;
26-09-23;1.542;;
27-09-23;5.305;;
28-09-23;2.063;;
29-09-23;6.459;;
30-09-23;4.141;;
01-10-23;1.206;;
02-10-23;2.365;;
03-10-23;9.938;;
04-10-23;10.557;;
05-10-23;13.458;;
06-10-23;13.122;;
07-10-23;6.687;;
08-10-23;1.404;;
09-10-23;2.982;;
10-10-23;6.161;;